"","Day","Temperature.C","Weight.g","Gross.Production.g","Gross.Production.J","Cum.Net.Production.J","Cum.Gross.Production.g","Net.Production.J","Cum.Gross.Production.J","Net.Production.g","Specific.Growth.Rate.g.g.d","Specific.Growth.Rate.J.g.d","Consumption.g","Consumption.J","Specific.Consumption.Rate.J.g.d","Specific.Consumption.Rate.g.g.d","Cum.Net.Production.g","Cum.Cons.J","Specific.Egestion.Rate.J.g.d","Specific.Excretion.Rate.J.g.d","Cum.Cons.g","Specific.Respiration.Rate.J.g.d","Mean.Prey.Energy.Density.J.g","Cum.Gametic.Production.J","Gametic.Production.g","Final.Predator.Energy.Density.J.g","Initial.Predator.Energy.Density.J.g","Specific.SDA.Rate.J.g.d","Simulation"
"1",1,11.6,1.37995173867715,0.11246554601211,648.290972502532,51.652934389832,0.11246554601211,51.652934389832,648.290972502532,0.00895863867714897,0.0100041320129091,37.6755611606156,0.0929293556681312,349.971953446182,255.26893858633,0.0677825115736405,0.00895863867714897,349.971953446182,50.0075229605004,24.6596811933547,0.0929293556681312,107.621209784217,3766,0,0,5764.36063241434,5764.3517991966,35.3049634876427,"2015_Early Summer_Lower Kenai River_Chinook_Age_0"
"2",2,10.3,1.38960440089624,0.104671750881294,603.365720106011,107.307586078337,0.217137296893403,55.654651688505,1251.65669260854,0.00965266221909067,0.0107092055749682,40.3308681953303,0.0874960663561492,329.510185897258,238.783847769295,0.0634051640385806,0.0186113008962396,679.48213934344,47.6528552423669,21.4324199092895,0.18042542202428,96.4931737076763,3766,0,0,5764.37014993928,5764.36063241434,32.8745307146316,"2015_Early Summer_Lower Kenai River_Chinook_Age_0"
"3",3,10.2,1.39928342969742,0.104479660726928,602.259437570086,163.114444874224,0.321616957620331,55.8068587958867,1853.91613017863,0.00967902880117855,0.0106639004333378,40.1602490319501,0.0873693967559708,329.033148182986,236.781884089294,0.0628735751697541,0.0282903296974182,1008.51528752643,47.3255560076772,21.1247568851143,0.267794818780251,95.5848337345143,3766,0,0,5764.37969346168,5764.37014993928,32.5864884300381,"2015_Early Summer_Lower Kenai River_Chinook_Age_0"
"4",4,12.2,1.40758204263047,0.117457000872216,677.066750682715,210.96231819444,0.439073958492547,47.8478733202158,2530.98288086134,0.00829861293304957,0.0090798073215973,34.1945543731354,0.0962446394055935,362.457312001465,259.030661200528,0.0687813757834648,0.0365889426304677,1370.97259952789,50.3493270320662,25.8146838431029,0.364039458185845,112.778906475248,3766,0,0,5764.38787589403,5764.37969346168,35.8931894769755,"2015_Early Summer_Lower Kenai River_Chinook_Age_0"
"5",5,11.7,1.416533091019,0.115275905958864,664.495034691976,262.572134944582,0.554349864451411,51.6098167501423,3195.47791555332,0.00895104838853111,0.00973594885324976,36.6655833813386,0.0950749935531224,358.052425721059,254.374107424627,0.0675449037240115,0.0455399910189989,1729.02502524895,49.7658731373329,24.7038937882474,0.459114451738967,108.046140820294,3766,0,0,5764.39670162774,5764.38787589403,35.1926162974147,"2015_Early Summer_Lower Kenai River_Chinook_Age_0"
"6",6,11.7,1.42550726892871,0.115824811933937,667.660163878642,314.315470144638,0.670174676385349,51.7433352000565,3863.13807943196,0.00897417790971344,0.00969945602540441,36.528151391673,0.0955129446466673,359.701749539349,253.931060149533,0.0674272597316869,0.0545141689287123,2088.7267747883,49.679195154619,24.6608666384407,0.554627396385635,107.931526185675,3766,0,0,5764.40555016716,5764.39670162774,35.1313207791252,"2015_Early Summer_Lower Kenai River_Chinook_Age_0"
"7",7,11,1.43510276027534,0.112119272909634,646.300959041002,369.641351449131,0.782293949294983,55.3258813044924,4509.43903847296,0.00959549134662452,0.0103057259329594,38.8113638635253,0.0931527934606338,350.813420172747,246.097251006225,0.0653471192262944,0.0641096602753368,2439.54019496105,48.610682705867,23.0059316238096,0.647780189846268,101.701583065361,3766,0,0,5764.41501132163,5764.40555016716,33.9676897476615,"2015_Early Summer_Lower Kenai River_Chinook_Age_0"
"8",8,11.4,1.44442800693426,0.115195917545608,664.037076342869,423.409224345673,0.89748986684059,53.7678728965423,5173.47611481583,0.00932524665892487,0.00994854434925045,37.4662180192772,0.0953007102017275,358.902474619706,250.088345276994,0.0664068893459889,0.0734349069342617,2798.44266958075,49.1251904526791,23.9009827126796,0.743080900047996,105.030291462576,3766,0,0,5764.42420601484,5764.41501132163,34.5656626297822,"2015_Early Summer_Lower Kenai River_Chinook_Age_0"
"9",9,11.9,1.45323373163254,0.118661126067102,684.013067414179,474.181774570212,1.01615099290769,50.7725502245391,5857.48918223001,0.00880572469828134,0.00933367686833547,35.1506270861514,0.0975551802494315,367.392808819359,254.351762120104,0.0675389702921146,0.082240631632543,3165.83547840011,49.6308658500174,24.9616860090683,0.840636080297427,109.396589016412,3766,0,0,5764.43288845939,5764.42420601484,35.2119941584548,"2015_Early Summer_Lower Kenai River_Chinook_Age_0"
"10",10,11.2,1.46277595490343,0.115040281092123,663.141979825044,529.201042942594,1.13119127399981,55.0192683723822,6520.63116205506,0.00954222327088838,0.0100530773802588,37.8598894140548,0.0953480148961002,359.080624098713,247.090757861316,0.065610928800137,0.0917828549034314,3524.91610249882,48.6701723378641,23.3575713478764,0.935984095193528,103.074784051487,3766,0,0,5764.44229709153,5764.43288845939,34.1283407100337,"2015_Early Summer_Lower Kenai River_Chinook_Age_0"
